ISIN,RANK,POWERRATING
INF740KA1WR5,,ON_TRACK
INF663L01GR4,25,OUT_OF_FORM
INF769K01DI7,10,ON_TRACK
INF843K01047,13,ON_TRACK
INF109KC14U6,4,IN_FORM
INF666M01JO6,,IN_FORM
INF200KB1902,3,ON_TRACK
INF966L01AN3,14,ON_TRACK
INF204KC1EB4,2,IN_FORM
INF204KA1W02,16,OFF_TRACK
INF966L01960,12,ON_TRACK
INF174V01705,13,ON_TRACK
INF955L01HD2,3,IN_FORM
INF740KA1TT7,,IN_FORM
INF109K01PI0,13,IN_FORM
INF789F01463,7,OFF_TRACK
INF174KA1FE3,4,ON_TRACK
INF174KA1TY2,,IN_FORM
INF277KA1DH7,,IN_FORM
INF760K01FN1,5,IN_FORM
INF789F1A801,3,IN_FORM
INF209K01WO2,16,OFF_TRACK
INF397L01KQ3,20,OUT_OF_FORM
INF109K011B2,4,IN_FORM
INF174K01F26,1,IN_FORM
INF174KA1OW7,1,ON_TRACK
INF200K01RM5,12,OFF_TRACK
INF740K01458,9,ON_TRACK
INF174K015K4,1,IN_FORM
INF251K01SC7,22,OUT_OF_FORM
INF680P01166,38,OUT_OF_FORM
INF173K01213,5,IN_FORM
INF109KB17W7,26,ON_TRACK
INF204KC1CC6,2,IN_FORM
INF205K01MT0,2,IN_FORM
INF204K01J26,1,IN_FORM
INF200KB1027,6,ON_TRACK
INF204KC1EV2,,ON_TRACK
INF397L01LA5,3,ON_TRACK
INF204K01AC4,6,IN_FORM
INF917K01QP9,17,ON_TRACK
INF760K01233,2,IN_FORM
INF174KA1MY7,,ON_TRACK
INF277KA1CX6,,ON_TRACK
INF204K01323,5,IN_FORM
INF194KB1JB6,2,IN_FORM
INF174V01AU8,15,ON_TRACK
INF789F01869,6,IN_FORM
INF084M01AB8,6,IN_FORM
INF204K01950,5,ON_TRACK
INF194K01Z93,10,ON_TRACK
INF204K01K98,29,ON_TRACK
INF761K01DR5,5,IN_FORM
INF397L01JR3,22,OUT_OF_FORM
INF740K01K81,17,OFF_TRACK
INF277KA1AY8,,ON_TRACK
INF200K01VS4,1,IN_FORM
INF174KA1XJ5,,ON_TRACK
INF209K01ZC0,22,OFF_TRACK
INF194K01W21,15,ON_TRACK
INF194K01417,25,OFF_TRACK
INF173K01CK0,20,OFF_TRACK
INF789F1AYN0,1,IN_FORM
INF204KC1CB8,2,IN_FORM
INF204KC1DY8,3,IN_FORM
INF789F01TY8,28,OUT_OF_FORM
INF966L01200,2,IN_FORM
INF966L01887,23,OFF_TRACK
INF917K01981,7,IN_FORM
INF680P01059,25,OUT_OF_FORM
INF846K011S4,5,IN_FORM
INF789F01802,28,OUT_OF_FORM
INF109KC12J3,2,IN_FORM
INF754K01EB2,4,IN_FORM
INF200K01SD2,3,ON_TRACK
INF00XX01CL3,5,IN_FORM
INF966L01CA6,4,IN_FORM
INF663L01V72,25,OUT_OF_FORM
INF740K01185,3,IN_FORM
INF959L01CP9,24,OUT_OF_FORM
INF204K01GG2,9,ON_TRACK
INF0J8L01099,39,OUT_OF_FORM
INF917K01FZ1,10,ON_TRACK
